Company,Sector,PE,3Y High,3Y Low,% Assets
INOX Leisure,Services,29.50,2.63,0.00,2.63
Ashoka Buildcon,Construction,10.52,3.46,0.00,2.59
MM Forgings,Metals,12.85,3.34,0.00,2.47
Thyrocare Technologies,Healthcare,30.47,2.33,0.00,2.33
Astra Microwave Products,Communication,0.00,3.13,0.00,2.31
Star Cement,Construction,13.48,2.74,0.00,2.29
Praj Industries,Engineering,28.30,4.04,0.00,2.17
Subros,Automobile,17.07,2.27,0.39,2.11
Rajapalayam Mills,Textiles,22.86,2.52,0.64,2.09
Johnson Controls - Hitachi Air Conditioning India,Cons Durable,56.84,1.98,0.00,1.95
Navneet Education,FMCG,11.37,1.92,0.00,1.92
Heritage Foods,FMCG,18.03,2.72,0.00,1.90
Ingersoll Rand India,Engineering,24.02,2.39,0.00,1.88
NRB Bearings,Engineering,13.34,2.62,0.00,1.79
Ramco Industries,Construction,20.11,2.08,1.64,1.75
VA Tech Wabag,Engineering,11.34,3.06,0.00,1.74
Asian Granito India,Construction,27.46,2.84,0.11,1.74
Himatsingka Seide,Textiles,7.78,3.26,0.00,1.72
ISGEC Heavy Engineering,Engineering,20.27,2.24,0.00,1.72
741. Sundaram Select Micro Cap Series XVI - Regular Plan
Navin Fluorine International,Chemicals,25.37,5.12,0.00,4.85
Grindwell Norton,Metals,40.49,4.38,0.00,4.38
